dteday,yr,mnth,weekday,season,is_holiday,is_weekend,workingday,weather_code,t1,t2,hum,wind_speed,cnt,n_hours_observed
2015-01-04,2015,1,0,3.0,0.0,1.0,0,4.0,2.48,0.65,94.27,7.5,9234,24
2015-01-05,2015,1,1,3.0,0.0,0.0,1,4.0,8.04,6.71,80.31,8.85,20372,24
2015-01-06,2015,1,2,3.0,0.0,0.0,1,1.0,7.85,5.33,78.9,16.0,20613,24
2015-01-07,2015,1,3,3.0,0.0,0.0,1,2.0,7.46,4.5,78.11,19.76,21064,23
2015-01-08,2015,1,4,3.0,0.0,0.0,1,7.0,9.75,7.79,79.31,20.48,15601,24
2015-01-09,2015,1,5,3.0,0.0,0.0,1,7.0,12.73,12.33,74.85,32.92,22104,24
2015-01-10,2015,1,6,3.0,0.0,1.0,0,3.0,10.48,8.71,66.12,34.31,14709,24
2015-01-11,2015,1,0,3.0,0.0,1.0,0,7.0,6.65,2.46,67.58,26.56,14575,24
2015-01-12,2015,1,1,3.0,0.0,0.0,1,7.0,11.12,9.75,76.58,28.19,17199,24
2015-01-13,2015,1,2,3.0,0.0,0.0,1,7.0,8.6,6.08,75.81,21.21,24697,24
2015-01-14,2015,1,3,3.0,0.0,0.0,1,2.0,6.5,2.48,67.12,25.75,23565,24
2015-01-15,2015,1,4,3.0,0.0,0.0,1,2.0,8.83,5.62,66.46,31.17,22968,24
2015-01-16,2015,1,5,3.0,0.0,0.0,1,1.0,5.79,2.54,66.23,17.46,22663,24
2015-01-17,2015,1,6,3.0,0.0,1.0,0,1.0,3.79,0.56,75.1,13.58,15268,24
2015-01-18,2015,1,0,3.0,0.0,1.0,0,7.0,3.4,1.92,84.33,6.98,13199,24
2015-01-19,2015,1,1,3.0,0.0,0.0,1,3.0,2.42,0.79,80.0,6.19,23034,24
2015-01-20,2015,1,2,3.0,0.0,0.0,1,1.0,2.06,-0.17,81.96,9.17,23247,24
2015-01-21,2015,1,3,3.0,0.0,0.0,1,7.0,3.04,-0.38,84.27,14.73,22782,24
2015-01-22,2015,1,4,3.0,0.0,0.0,1,3.0,2.58,1.04,74.48,6.73,23278,24
2015-01-23,2015,1,5,3.0,0.0,0.0,1,1.0,2.71,-0.02,79.42,12.42,21892,24
2015-01-24,2015,1,6,3.0,0.0,1.0,0,1.0,5.71,2.33,72.73,18.06,17539,24
2015-01-25,2015,1,0,3.0,0.0,1.0,0,4.0,5.52,2.31,77.38,16.17,15094,24
2015-01-26,2015,1,1,3.0,0.0,0.0,1,3.0,8.56,5.73,75.21,18.96,22710,24
2015-01-27,2015,1,2,3.0,0.0,0.0,1,1.0,6.96,4.15,72.38,15.29,25000,24
2015-01-28,2015,1,3,3.0,0.0,0.0,1,7.0,6.98,2.92,71.02,29.15,21536,24
2015-01-29,2015,1,4,3.0,0.0,0.0,1,2.0,3.77,-1.25,73.52,26.56,21275,24
2015-01-30,2015,1,5,3.0,0.0,0.0,1,3.0,3.98,0.19,77.08,17.48,21171,24
2015-01-31,2015,1,6,3.0,0.0,1.0,0,7.0,3.42,-0.92,77.92,20.12,10250,24
2015-02-01,2015,2,0,3.0,0.0,1.0,0,3.0,3.79,-0.9,67.0,24.77,11305,24
2015-02-02,2015,2,1,3.0,0.0,0.0,1,2.0,1.25,-2.4,64.85,12.62,21640,24
2015-02-03,2015,2,2,3.0,0.0,0.0,1,26.0,2.17,-1.04,85.5,11.83,19869,24
2015-02-04,2015,2,3,3.0,0.0,0.0,1,3.0,2.88,-0.52,80.69,14.12,21850,24
2015-02-05,2015,2,4,3.0,0.0,0.0,1,2.0,2.9,-0.92,78.1,16.02,21200,24
2015-02-06,2015,2,5,3.0,0.0,0.0,1,2.0,2.69,-1.67,69.85,19.27,20955,24
2015-02-07,2015,2,6,3.0,0.0,1.0,0,4.0,3.75,1.02,83.02,11.31,13149,24
2015-02-08,2015,2,0,3.0,0.0,1.0,0,2.0,5.44,3.15,76.21,10.25,15778,24
2015-02-09,2015,2,1,3.0,0.0,0.0,1,4.0,5.71,3.85,81.44,9.21,23858,24
2015-02-10,2015,2,2,3.0,0.0,0.0,1,4.0,5.5,4.37,79.61,6.48,23559,23
2015-02-11,2015,2,3,3.0,0.0,0.0,1,4.0,5.04,3.17,77.44,7.65,23680,24
2015-02-12,2015,2,4,3.0,0.0,0.0,1,4.0,3.98,2.38,73.12,7.21,23227,24
2015-02-13,2015,2,5,3.0,0.0,0.0,1,7.0,6.98,4.02,84.54,17.81,17699,24
2015-02-14,2015,2,6,3.0,0.0,1.0,0,7.0,7.31,5.1,88.69,12.38,14423,24
2015-02-15,2015,2,0,3.0,0.0,1.0,0,3.0,6.69,5.33,86.17,7.33,16952,24
2015-02-16,2015,2,1,3.0,0.0,0.0,1,7.0,6.04,4.06,89.71,9.75,16381,24
2015-02-17,2015,2,2,3.0,0.0,0.0,1,2.0,5.85,3.48,68.71,12.19,25064,24
2015-02-18,2015,2,3,3.0,0.0,0.0,1,1.0,6.4,3.73,71.27,15.17,25132,24
2015-02-19,2015,2,4,3.0,0.0,0.0,1,7.0,7.27,3.9,81.5,21.12,16898,24
2015-02-20,2015,2,5,3.0,0.0,0.0,1,7.0,6.65,4.81,81.33,9.42,20715,24
2015-02-21,2015,2,6,3.0,0.0,1.0,0,7.0,4.81,1.62,76.33,16.21,16198,24
2015-02-22,2015,2,0,3.0,0.0,1.0,0,7.0,5.12,1.42,80.92,21.25,9086,24
2015-02-23,2015,2,1,3.0,0.0,0.0,1,7.0,6.94,2.94,66.85,25.88,21764,24
2015-02-24,2015,2,2,3.0,0.0,0.0,1,2.0,7.19,3.15,66.15,27.0,23688,24
2015-02-25,2015,2,3,3.0,0.0,0.0,1,7.0,9.08,7.67,77.31,11.1,21592,24
2015-02-26,2015,2,4,3.0,0.0,0.0,1,7.0,9.25,7.44,81.73,16.92,20036,24
2015-02-27,2015,2,5,3.0,0.0,0.0,1,2.0,5.94,3.1,66.27,14.31,24367,24
2015-02-28,2015,2,6,3.0,0.0,1.0,0,3.0,8.69,5.75,83.58,23.08,13529,24
2015-03-01,2015,3,0,0.0,0.0,1.0,0,2.0,9.19,6.42,66.69,29.58,15641,24
2015-03-02,2015,3,1,0.0,0.0,0.0,1,2.0,6.06,1.73,62.81,28.31,22258,24
2015-03-03,2015,3,2,0.0,0.0,0.0,1,7.0,6.58,2.85,64.19,23.04,23845,24
2015-03-04,2015,3,3,0.0,0.0,0.0,1,1.0,6.69,3.27,64.67,20.21,24485,24
2015-03-05,2015,3,4,0.0,0.0,0.0,1,1.0,7.5,5.21,65.27,16.69,24896,24
2015-03-06,2015,3,5,0.0,0.0,0.0,1,4.0,9.1,7.19,63.29,17.52,25337,24
2015-03-07,2015,3,6,0.0,0.0,1.0,0,1.0,11.04,9.65,64.31,18.4,27365,24
2015-03-08,2015,3,0,0.0,0.0,1.0,0,2.0,10.04,9.04,78.85,14.23,20017,24
2015-03-09,2015,3,1,0.0,0.0,0.0,1,3.0,8.35,6.42,82.83,14.31,24037,24
2015-03-10,2015,3,2,0.0,0.0,0.0,1,1.0,8.92,7.4,65.46,10.62,27674,24
2015-03-11,2015,3,3,0.0,0.0,0.0,1,1.0,8.75,7.6,73.73,11.23,27419,24
2015-03-12,2015,3,4,0.0,0.0,0.0,1,1.0,10.0,8.96,56.21,13.58,28131,24
2015-03-13,2015,3,5,0.0,0.0,0.0,1,1.0,8.5,6.62,61.27,17.77,25700,24
2015-03-14,2015,3,6,0.0,0.0,1.0,0,4.0,6.15,2.96,66.98,17.96,18101,24
2015-03-15,2015,3,0,0.0,0.0,1.0,0,7.0,6.31,3.31,82.21,16.31,10662,24
2015-03-16,2015,3,1,0.0,0.0,0.0,1,7.0,7.0,4.52,81.77,13.69,19824,24
2015-03-17,2015,3,2,0.0,0.0,0.0,1,7.0,8.48,7.17,85.88,10.21,25780,24
2015-03-18,2015,3,3,0.0,0.0,0.0,1,3.0,6.9,4.58,80.06,12.21,26439,24
2015-03-19,2015,3,4,0.0,0.0,0.0,1,4.0,7.25,4.54,79.15,15.08,24077,24
2015-03-20,2015,3,5,0.0,0.0,0.0,1,4.0,7.54,5.83,75.48,9.85,25226,24
2015-03-21,2015,3,6,0.0,0.0,1.0,0,3.0,7.62,4.9,72.04,16.48,16116,24
2015-03-22,2015,3,0,0.0,0.0,1.0,0,4.0,5.85,3.33,67.73,12.4,18618,24
2015-03-23,2015,3,1,0.0,0.0,0.0,1,2.0,8.0,6.48,66.17,11.92,25592,24
2015-03-24,2015,3,2,0.0,0.0,0.0,1,7.0,7.54,5.92,69.81,9.35,24083,24
2015-03-25,2015,3,3,0.0,0.0,0.0,1,1.0,6.21,4.65,67.08,7.94,25672,24
