dteday,anomaly_score,top_var,top_extremeness,top_var_actual,top_var_pct,second_var,second_extremeness
2011-03-10,-0.1050537544685794,hum,50.0,0.0,0.0,cnt,49.316005471956224
2011-10-29,-0.0815771354906496,cnt,49.17920656634747,627.0,0.8207934336525308,weathersit,47.12722298221614
2011-01-26,-0.0812365100173327,cnt,49.58960328317374,506.0,0.4103967168262654,weathersit,47.12722298221614
2012-10-29,-0.0797793573740135,cnt,50.0,22.0,0.0,weathersit,47.12722298221614
2012-12-26,-0.0784714431543747,cnt,49.72640218878249,441.0,0.2735978112175102,weathersit,47.12722298221614
2011-02-19,-0.0715156679278269,weathersit,50.0,1.0,0.0,hum,49.86320109439124
2011-12-07,-0.0558759273193431,hum,49.72640218878249,0.970417,99.72640218878249,cnt,48.90560875512996
2011-09-06,-0.0519591136188428,weathersit,47.12722298221614,3.0,97.12722298221614,hum,46.443228454172356
2011-04-16,-0.050038274385981,cnt,48.63201094391245,795.0,1.3679890560875512,weathersit,47.12722298221614
2011-09-07,-0.0491333304323163,hum,48.35841313269492,0.917083,98.35841313269492,weathersit,47.12722298221614
2011-09-08,-0.0490841811610087,hum,49.17920656634746,0.939565,99.17920656634746,weathersit,47.12722298221614
2011-01-22,-0.048839248023966,temp,50.0,0.0591304,0.0,atemp,50.0
2012-04-22,-0.0464012413948886,weathersit,47.12722298221614,3.0,97.12722298221614,cnt,46.99042407660739
2011-11-22,-0.043072803077818,hum,49.589603283173716,0.9625,99.58960328317372,weathersit,47.12722298221614
2012-02-12,-0.0392542064587183,weathersit,50.0,1.0,0.0,atemp,49.72640218878249
2012-02-11,-0.0380192997017128,weathersit,47.12722298221614,3.0,97.12722298221614,atemp,45.75923392612859
2011-08-27,-0.0361145994477463,windspeed,47.81121751025992,0.375617,97.81121751025992,cnt,46.306429548563614
2011-01-09,-0.0359714777719643,weathersit,50.0,1.0,0.0,atemp,49.58960328317374
2011-11-16,-0.0326391542782525,hum,49.04240766073872,0.93,99.04240766073872,weathersit,47.12722298221614
2011-03-31,-0.0306855178506004,hum,48.49521203830368,0.918333,98.49521203830368,weathersit,47.12722298221614
2011-10-12,-0.0302864845013939,hum,47.674418604651166,0.90625,97.67441860465117,weathersit,47.12722298221614
2011-12-06,-0.0294688531925583,hum,49.45280437756496,0.949583,99.45280437756496,weathersit,47.12722298221614
2012-01-04,-0.0272708242352032,temp,49.58960328317374,0.1075,0.4103967168262654,atemp,49.316005471956224
2011-10-19,-0.0262784428954461,weathersit,47.12722298221614,3.0,97.12722298221614,hum,46.85362517099864
2011-01-23,-0.0257059790812924,weathersit,50.0,1.0,0.0,temp,49.86320109439124
2012-10-02,-0.0207369880322624,weathersit,47.12722298221614,3.0,97.12722298221614,hum,45.075239398084804
2011-11-21,-0.0200761798761633,hum,47.94801641586868,0.91,97.94801641586868,weathersit,47.12722298221614
2012-03-09,-0.0146586602060946,windspeed,49.04240766073872,0.4148,99.04240766073872,hum,45.21203830369357
2011-03-06,-0.0137498055035499,cnt,49.45280437756498,605.0,0.5471956224350205,hum,49.316005471956245
2012-07-21,-0.0108291792054929,weathersit,47.12722298221614,3.0,97.12722298221614,hum,44.66484268125856
2012-01-03,-0.0099917510623516,weathersit,50.0,1.0,0.0,atemp,49.17920656634747
2011-07-21,-0.0096817052186297,atemp,49.72640218878249,0.826371,99.72640218878249,temp,48.35841313269492
2011-01-08,-0.006964017271471,temp,48.35841313269494,0.165,1.6415868673050615,cnt,48.08481532147743
2011-07-23,-0.0067031286081656,weathersit,50.0,1.0,0.0,temp,49.72640218878249
2011-02-14,-0.0052207322702351,weathersit,50.0,1.0,0.0,windspeed,49.316005471956245
2011-02-09,-0.0028007656729611,temp,49.316005471956224,0.134783,0.6839945280437756,atemp,49.04240766073871
2011-07-22,-0.0001620584677491,weathersit,50.0,1.0,0.0,atemp,49.86320109439124
