dteday,yr,season,weather_code,t2,hum,wind_speed,cnt,anomaly_score,t2_pct,hum_pct,wind_speed_pct,weather_code_pct,cnt_pct
2016-01-17,2016,3.0,26.0,0.75,80.31,9.06,11762,-0.10805550068779446,3.43878954607978,79.22971114167812,11.829436038514443,99.58734525447042,4.126547455295736
2015-02-03,2015,3.0,26.0,-1.04,85.5,11.83,19869,-0.10230269575219364,0.41265474552957354,91.74690508940853,28.198074277854197,99.58734525447042,18.982118294360383
2016-11-20,2016,2.0,26.0,4.67,85.0,20.46,10613,-0.08554232278913376,17.33149931224209,90.78404401650619,78.1292984869326,99.58734525447042,2.4759284731774414
2016-12-28,2016,3.0,1.0,0.02,97.23,7.4,12428,-0.0806200296072408,1.925722145804677,99.58734525447042,5.502063273727647,0.0,4.814305364511692
2015-03-31,2015,0.0,7.0,9.7,55.15,41.9,22602,-0.07933151263180471,37.964236588720766,3.1636863823933976,99.86244841815682,68.91334250343878,26.5474552957359
2015-07-09,2015,1.0,2.0,17.54,48.98,12.98,72504,-0.07626555377978328,80.33012379642366,0.2751031636863824,35.075653370013754,25.30949105914718,99.86244841815682
2015-01-04,2015,3.0,4.0,0.65,94.27,7.5,9234,-0.06907720886610136,3.0261348005502064,99.17469050894086,5.914718019257221,57.22145804676754,1.2379642365887207
2016-02-08,2016,3.0,7.0,4.39,63.17,41.39,19497,-0.06458181170093458,15.680880330123797,17.881705639614857,99.72489683631362,68.91334250343878,18.29436038514443
2016-12-30,2016,3.0,4.0,1.06,98.69,9.0,11566,-0.05366591366504203,4.264099037138927,99.86244841815682,11.279229711141678,57.22145804676754,3.851444291609354
2015-07-01,2015,1.0,1.0,27.44,50.98,17.31,42641,-0.03696948705034797,99.86244841815682,0.8253094910591471,63.411279229711134,0.0,97.38651994497937
2016-12-29,2016,3.0,1.0,2.44,89.98,6.06,14052,-0.030295925981030924,8.11554332874828,97.38651994497937,1.2379642365887207,0.0,7.015130674002751
2015-12-05,2015,3.0,4.0,12.65,66.27,36.83,16511,-0.03011221047058721,51.719394773039895,27.92297111416781,99.58734525447042,57.22145804676754,11.691884456671252
2015-02-01,2015,3.0,3.0,-0.9,67.0,24.77,11305,-0.02908101503326488,0.8253094910591471,30.674002751031637,91.33425034387895,43.053645116918844,3.3012379642365883
2015-11-21,2015,2.0,1.0,-0.38,68.02,26.25,12751,-0.028503344800671182,1.1004126547455295,33.97524071526822,93.12242090784044,0.0,5.089408528198074
2015-07-08,2015,1.0,7.0,17.81,62.44,23.83,41703,-0.025404931917043072,81.84319119669877,15.543328748280604,90.23383768913342,68.91334250343878,96.28610729023383
2016-03-28,2016,0.0,7.0,5.65,72.71,34.62,10216,-0.024575256218057007,20.77028885832187,51.031636863823934,99.31224209078404,68.91334250343878,2.063273727647868
2016-08-14,2016,1.0,4.0,19.06,53.94,9.17,43848,-0.02342874814541529,88.17056396148556,2.200825309491059,12.242090784044017,57.22145804676754,98.62448418156808
2015-08-31,2015,1.0,7.0,15.48,89.54,10.44,9639,-0.02282315192402995,70.15130674002751,96.56121045392022,19.257221458046768,68.91334250343878,1.5130674002751032
2015-11-01,2015,2.0,4.0,8.85,97.69,5.21,22848,-0.020893673928363055,34.3878954607978,99.72489683631362,0.6877579092159559,57.22145804676754,28.198074277854197
2016-07-20,2016,1.0,2.0,25.04,59.0,19.04,44664,-0.020630975708053723,99.58734525447042,8.803301237964236,71.66437414030261,25.30949105914718,99.03713892709766
2016-02-13,2016,3.0,7.0,0.67,85.56,18.44,9869,-0.018498230799387283,3.1636863823933976,92.02200825309491,69.73865199449793,68.91334250343878,1.7881705639614855
2015-01-10,2015,3.0,3.0,8.71,66.12,34.31,14709,-0.018424930907354975,33.97524071526822,26.960110041265473,99.17469050894086,43.053645116918844,7.8404401650618984
2015-11-29,2015,2.0,7.0,12.04,72.04,34.08,11392,-0.016743776865188797,48.28060522696011,48.28060522696011,99.03713892709766,68.91334250343878,3.43878954607978
2015-11-15,2015,2.0,4.0,15.52,72.48,34.06,17594,-0.016016196021114038,70.70151306740028,49.93122420907841,98.89958734525447,57.22145804676754,13.892709766162312
2016-12-17,2016,3.0,4.0,6.46,95.94,6.21,17238,-0.014089615656544652,24.621733149931224,99.44979367262724,1.5130674002751032,57.22145804676754,12.929848693259974
2016-10-30,2016,2.0,4.0,11.1,94.17,5.09,23535,-0.010316547449737645,43.60385144429161,99.03713892709766,0.41265474552957354,57.22145804676754,31.49931224209078
2016-08-24,2016,1.0,1.0,25.56,60.1,6.81,40664,-0.010076527463222962,99.72489683631362,10.866574965612106,3.3012379642365883,0.0,95.59834938101788
